Img	Mean	SD
lab_m_avg_2001-600.jpg	89.027953	1.707852
lab_m_avg_2002-600.jpg	88.831597	3.198360
lab_m_avg_2003-600.jpg	89.664579	1.918703
lab_m_avg_2004-600.jpg	88.799220	2.718603
lab_m_avg_2005-600.jpg	89.235364	2.577258
lab_m_avg_2006-600.jpg	90.227757	0.112941
lab_m_avg_2007-600.jpg	90.061277	1.244126
lab_m_avg_2009-600.jpg	88.462918	3.194034
lab_m_avg_2010-600.jpg	88.856810	2.874578
lab_m_avg_2011-600.jpg	89.476120	2.579928
lab_m_avg_2012-600.jpg	88.517491	3.299099
lab_m_avg_2013-600.jpg	89.326855	2.959050
lab_m_avg_2014-600.jpg	90.042589	0.927020
lab_m_avg_2015-600.jpg	89.958324	0.682421
lab_m_avg_2016 600dpi.jpg	89.955000	1.147817
lab_m_avg_2017-600.jpg	90.177202	0.396876
lab_m_avg_2018-600.jpg	90.007522	0.585976
lab_m_avg_2019-600.jpg	89.762918	1.700873
lab_m_avg_2021-600.jpg	90.200116	0.218909
lab_m_avg_2022-600.jpg	90.221995	0.077612
lab_m_avg_2023-600.jpg	90.230156	0.057297
lab_m_avg_2024-600.jpg	89.697371	1.971777
lab_m_avg_2025-600.jpg	90.105998	0.343538
lab_m_avg_2026-600.jpg	90.176101	0.557690
lab_m_avg_2027-600.jpg	90.231477	0.040521
lab_m_avg_2028-600.jpg	90.203912	0.138254
lab_m_avg_2029-600.jpg	90.235760	0.063330
lab_m_avg_2030-600.jpg	90.142235	0.283856
lab_m_avg_2032-600.jpg	89.432909	2.280065
lab_m_avg_2033-600.jpg	88.543561	3.240559
lab_m_avg_2034-600.jpg	89.433620	2.275701
lab_m_avg_2035-600.jpg	90.019385	0.669045
lab_m_avg_2036-600.jpg	89.844423	1.338223
lab_m_avg_2037-600.jpg	90.206335	0.098949
lab_m_avg_2038-600.jpg	89.410894	2.171747
lab_m_avg_2039-600.jpg	90.212845	0.136449
lab_m_avg_2040-600.jpg	89.930838	0.485390
lab_m_avg_2041-600.jpg	90.185410	0.174547
lab_m_avg_2042-600.jpg	90.037652	0.536476
lab_m_avg_2044-600.jpg	89.845146	1.668357
lab_m_avg_2045-600.jpg	90.176558	0.251529
lab_m_avg_2046-600.jpg	90.230907	0.075356
lab_m_avg_2047-600.jpg	90.233333	0.031908
lab_m_avg_2048-600.jpg	89.904330	1.330383
lab_m_avg_2049-600.jpg	90.164665	0.335551
lab_m_avg_2050-600.jpg	90.224389	0.070805
lab_m_avg_2051-600.jpg	90.218116	0.101386
lab_m_avg_2052-600.jpg	90.068070	1.179727
lab_m_avg_2053-600.jpg	90.073701	0.886218
lab_m_avg_2054-600.jpg	89.972104	1.610693
lab_m_avg_2055-600.jpg	90.200355	0.108825
lab_m_avg_2056-600.jpg	90.048753	0.705138
lab_m_avg_2057-600.jpg	88.177065	3.918550
lab_m_avg_2058-600.jpg	89.342494	1.386911
lab_m_avg_2059-600.jpg	90.137110	0.435334
lab_m_avg_2060-600.jpg	87.838372	3.548023
lab_m_avg_2061-600.jpg	90.140635	0.639180
lab_m_avg_2062-600.jpg	88.207673	3.979483
lab_m_avg_2063-600.jpg	90.210743	0.290324
lab_m_avg_2064-600.jpg	90.219119	0.093855
Pooled	89.745469	1.227216
