Img	Mean	SD
hsv_m_avg_2001-600.jpg	0.921831	0.004744
hsv_m_avg_2002-600.jpg	0.921623	0.006610
hsv_m_avg_2003-600.jpg	0.921587	0.003719
hsv_m_avg_2004-600.jpg	0.921739	0.004011
hsv_m_avg_2005-600.jpg	0.921637	0.005177
hsv_m_avg_2006-600.jpg	0.921766	0.003328
hsv_m_avg_2007-600.jpg	0.921606	0.004550
hsv_m_avg_2009-600.jpg	0.921838	0.005789
hsv_m_avg_2010-600.jpg	0.921619	0.005368
hsv_m_avg_2011-600.jpg	0.921673	0.003585
hsv_m_avg_2012-600.jpg	0.921841	0.008101
hsv_m_avg_2013-600.jpg	0.921717	0.004905
hsv_m_avg_2014-600.jpg	0.921534	0.006388
hsv_m_avg_2015-600.jpg	0.921770	0.006958
hsv_m_avg_2016 600dpi.jpg	0.921724	0.008233
hsv_m_avg_2017-600.jpg	0.921620	0.003633
hsv_m_avg_2018-600.jpg	0.921620	0.004292
hsv_m_avg_2019-600.jpg	0.921645	0.003349
hsv_m_avg_2021-600.jpg	0.921585	0.004168
hsv_m_avg_2022-600.jpg	0.921597	0.002521
hsv_m_avg_2023-600.jpg	0.921466	0.010158
hsv_m_avg_2024-600.jpg	0.921700	0.005474
hsv_m_avg_2025-600.jpg	0.921682	0.005959
hsv_m_avg_2026-600.jpg	0.921586	0.002640
hsv_m_avg_2027-600.jpg	0.921636	0.002231
hsv_m_avg_2028-600.jpg	0.921623	0.003838
hsv_m_avg_2029-600.jpg	0.921665	0.006703
hsv_m_avg_2030-600.jpg	0.921664	0.003455
hsv_m_avg_2032-600.jpg	0.921678	0.003054
hsv_m_avg_2033-600.jpg	0.921804	0.005162
hsv_m_avg_2034-600.jpg	0.921634	0.005215
hsv_m_avg_2035-600.jpg	0.921602	0.009447
hsv_m_avg_2036-600.jpg	0.921603	0.004722
hsv_m_avg_2037-600.jpg	0.921539	0.002831
hsv_m_avg_2038-600.jpg	0.921696	0.004920
hsv_m_avg_2039-600.jpg	0.921633	0.002636
hsv_m_avg_2040-600.jpg	0.921697	0.008986
hsv_m_avg_2041-600.jpg	0.921615	0.003327
hsv_m_avg_2042-600.jpg	0.921701	0.003985
hsv_m_avg_2044-600.jpg	0.921742	0.006620
hsv_m_avg_2045-600.jpg	0.921651	0.004368
hsv_m_avg_2046-600.jpg	0.921582	0.002820
hsv_m_avg_2047-600.jpg	0.921611	0.005118
hsv_m_avg_2048-600.jpg	0.921611	0.004316
hsv_m_avg_2049-600.jpg	0.921601	0.004186
hsv_m_avg_2050-600.jpg	0.921626	0.006201
hsv_m_avg_2051-600.jpg	0.921610	0.002090
hsv_m_avg_2052-600.jpg	0.921648	0.003263
hsv_m_avg_2053-600.jpg	0.921575	0.005771
hsv_m_avg_2054-600.jpg	0.921654	0.004480
hsv_m_avg_2055-600.jpg	0.921514	0.003110
hsv_m_avg_2056-600.jpg	0.921640	0.005432
hsv_m_avg_2057-600.jpg	0.921683	0.005662
hsv_m_avg_2058-600.jpg	0.921584	0.003525
hsv_m_avg_2059-600.jpg	0.921615	0.004239
hsv_m_avg_2060-600.jpg	0.921788	0.005637
hsv_m_avg_2061-600.jpg	0.921608	0.003551
hsv_m_avg_2062-600.jpg	0.921931	0.010125
hsv_m_avg_2063-600.jpg	0.921735	0.004162
hsv_m_avg_2064-600.jpg	0.921618	0.003267
Pooled	0.921657	0.004869
