Img	Mean	SD
lab_n_2001-600.jpg	80.854133	25.909232
lab_n_2002-600.jpg	88.036158	24.763116
lab_n_2003-600.jpg	89.898608	21.942940
lab_n_2004-600.jpg	89.298492	17.453735
lab_n_2005-600.jpg	94.588487	11.230369
lab_n_2006-600.jpg	89.976929	21.779038
lab_n_2007-600.jpg	86.814376	29.409272
lab_n_2009-600.jpg	91.817315	14.577592
lab_n_2010-600.jpg	85.822201	26.865480
lab_n_2011-600.jpg	94.088931	14.408483
lab_n_2012-600.jpg	84.873329	28.061307
lab_n_2013-600.jpg	94.711229	14.174099
lab_n_2014-600.jpg	92.109501	19.548582
lab_n_2015-600.jpg	87.013269	29.958041
lab_n_2016 600dpi.jpg	89.445983	22.704246
lab_n_2017-600.jpg	95.977331	14.445800
lab_n_2018-600.jpg	88.064530	24.159433
lab_n_2019-600.jpg	92.245282	18.400026
lab_n_2021-600.jpg	91.273626	21.035150
lab_n_2022-600.jpg	90.470931	24.058085
lab_n_2023-600.jpg	81.016249	33.213554
lab_n_2024-600.jpg	93.667738	16.477734
lab_n_2025-600.jpg	90.982375	20.146310
lab_n_2026-600.jpg	92.281433	20.123913
lab_n_2027-600.jpg	88.657703	17.402067
lab_n_2028-600.jpg	95.541706	11.089862
lab_n_2029-600.jpg	86.210820	30.049332
lab_n_2030-600.jpg	92.691708	20.751781
lab_n_2032-600.jpg	94.130439	16.052298
lab_n_2033-600.jpg	87.285499	22.263300
lab_n_2034-600.jpg	87.289341	25.184638
lab_n_2035-600.jpg	91.312732	24.219694
lab_n_2036-600.jpg	89.949593	23.847580
lab_n_2037-600.jpg	92.745577	14.104247
lab_n_2038-600.jpg	92.100712	14.899816
lab_n_2039-600.jpg	92.405853	15.413226
lab_n_2040-600.jpg	75.057653	35.203653
lab_n_2041-600.jpg	93.020124	19.252909
lab_n_2042-600.jpg	88.491169	24.546048
lab_n_2044-600.jpg	97.281885	10.431913
lab_n_2045-600.jpg	95.760043	14.223374
lab_n_2046-600.jpg	96.995948	11.292089
lab_n_2047-600.jpg	91.049573	26.096046
lab_n_2048-600.jpg	93.386935	15.937112
lab_n_2049-600.jpg	95.703685	17.137919
lab_n_2050-600.jpg	82.030279	34.940283
lab_n_2051-600.jpg	93.503161	15.155674
lab_n_2052-600.jpg	96.726702	11.901841
lab_n_2053-600.jpg	95.375952	18.784309
lab_n_2054-600.jpg	96.536552	11.451945
lab_n_2055-600.jpg	91.583503	14.945901
lab_n_2056-600.jpg	85.319804	30.747531
lab_n_2057-600.jpg	82.066322	30.332346
lab_n_2058-600.jpg	87.669075	17.977858
lab_n_2059-600.jpg	92.136413	24.372348
lab_n_2060-600.jpg	76.859644	33.613560
lab_n_2061-600.jpg	83.391929	26.302650
lab_n_2062-600.jpg	89.211236	20.752865
lab_n_2063-600.jpg	93.399380	18.605785
lab_n_2064-600.jpg	89.516964	22.451586
Pooled	90.128734	20.943015
