Img	Mean	SD
hsv_n_2001-600.jpg	0.860815	0.188448
hsv_n_2002-600.jpg	0.926258	0.158559
hsv_n_2003-600.jpg	0.924064	0.169077
hsv_n_2004-600.jpg	0.953206	0.079466
hsv_n_2005-600.jpg	0.991032	0.036557
hsv_n_2006-600.jpg	0.897867	0.221438
hsv_n_2007-600.jpg	0.874403	0.287052
hsv_n_2009-600.jpg	0.988631	0.029921
hsv_n_2010-600.jpg	0.905385	0.181525
hsv_n_2011-600.jpg	0.969345	0.085191
hsv_n_2012-600.jpg	0.904057	0.180671
hsv_n_2013-600.jpg	0.978401	0.059406
hsv_n_2014-600.jpg	0.932031	0.170290
hsv_n_2015-600.jpg	0.905016	0.219059
hsv_n_2016 600dpi.jpg	0.911608	0.199128
hsv_n_2017-600.jpg	0.963667	0.131940
hsv_n_2018-600.jpg	0.895085	0.216804
hsv_n_2019-600.jpg	0.942628	0.136984
hsv_n_2021-600.jpg	0.917202	0.203424
hsv_n_2022-600.jpg	0.907631	0.233236
hsv_n_2023-600.jpg	0.809609	0.328611
hsv_n_2024-600.jpg	0.962737	0.109514
hsv_n_2025-600.jpg	0.932402	0.150716
hsv_n_2026-600.jpg	0.926164	0.192951
hsv_n_2027-600.jpg	0.878652	0.185270
hsv_n_2028-600.jpg	0.959999	0.101106
hsv_n_2029-600.jpg	0.861112	0.301996
hsv_n_2030-600.jpg	0.942995	0.165203
hsv_n_2032-600.jpg	0.970801	0.083549
hsv_n_2033-600.jpg	0.930349	0.126688
hsv_n_2034-600.jpg	0.900224	0.200538
hsv_n_2035-600.jpg	0.932113	0.192284
hsv_n_2036-600.jpg	0.917597	0.199131
hsv_n_2037-600.jpg	0.932627	0.131002
hsv_n_2038-600.jpg	0.958182	0.091649
hsv_n_2039-600.jpg	0.930234	0.145255
hsv_n_2040-600.jpg	0.798403	0.286733
hsv_n_2041-600.jpg	0.940675	0.164337
hsv_n_2042-600.jpg	0.909392	0.194935
hsv_n_2044-600.jpg	0.989382	0.056937
hsv_n_2045-600.jpg	0.963795	0.121892
hsv_n_2046-600.jpg	0.969062	0.115308
hsv_n_2047-600.jpg	0.910882	0.258928
hsv_n_2048-600.jpg	0.957742	0.109426
hsv_n_2049-600.jpg	0.966371	0.133074
hsv_n_2050-600.jpg	0.824661	0.340655
hsv_n_2051-600.jpg	0.936682	0.148260
hsv_n_2052-600.jpg	0.974849	0.092726
hsv_n_2053-600.jpg	0.960025	0.164065
hsv_n_2054-600.jpg	0.977677	0.072792
hsv_n_2055-600.jpg	0.916228	0.150111
hsv_n_2056-600.jpg	0.871107	0.270334
hsv_n_2057-600.jpg	0.881752	0.209324
hsv_n_2058-600.jpg	0.929160	0.104042
hsv_n_2059-600.jpg	0.930177	0.216977
hsv_n_2060-600.jpg	0.842348	0.229188
hsv_n_2061-600.jpg	0.843649	0.249093
hsv_n_2062-600.jpg	0.956411	0.086556
hsv_n_2063-600.jpg	0.934458	0.184237
hsv_n_2064-600.jpg	0.893839	0.227261
Pooled	0.922881	0.168014
