NOUN database available at: http://www.sussex.ac.uk/wordlab/noun

Img	Mean_hsv	SD_hsv	Mean_lab	SD_lab
2001-600.jpg	0.8609	0.1883	80.8616	25.9062
2002-600.jpg	0.9263	0.1585	88.0416	24.7619
2003-600.jpg	0.9241	0.1691	89.9025	21.9395
2004-600.jpg	0.9532	0.0794	89.3029	17.4537
2005-600.jpg	0.9914	0.0364	94.6048	11.2038
2006-600.jpg	0.8980	0.2212	89.9799	21.7772
2007-600.jpg	0.8746	0.2867	86.8177	29.4093
2009-600.jpg	0.9888	0.0293	91.8296	14.5741
2010-600.jpg	0.9054	0.1814	85.8279	26.8644
2011-600.jpg	0.9694	0.0850	94.0940	14.4049
2012-600.jpg	0.9042	0.1804	84.8911	28.0612
2013-600.jpg	0.9785	0.0590	94.7197	14.1698
2014-600.jpg	0.9321	0.1703	92.1167	19.5415
2015-600.jpg	0.9050	0.2190	87.0203	29.9526
2016 600dpi.jpg	0.9116	0.1990	89.4519	22.7025
2017-600.jpg	0.9638	0.1318	95.9849	14.4450
2018-600.jpg	0.8951	0.2169	88.0684	24.1569
2019-600.jpg	0.9426	0.1370	92.2503	18.3990
2021-600.jpg	0.9172	0.2033	91.2781	21.0318
2022-600.jpg	0.9076	0.2332	90.4726	24.0575
2023-600.jpg	0.8098	0.3284	81.0212	33.2124
2024-600.jpg	0.9627	0.1093	93.6752	16.4729
2025-600.jpg	0.9324	0.1506	90.9884	20.1428
2026-600.jpg	0.9262	0.1929	92.2869	20.1184
2027-600.jpg	0.8787	0.1851	88.6585	17.4030
2028-600.jpg	0.9601	0.1009	95.5495	11.0965
2029-600.jpg	0.8613	0.3017	86.2166	30.0422
2030-600.jpg	0.9430	0.1651	92.6948	20.7491
2032-600.jpg	0.9708	0.0835	94.1335	16.0493
2033-600.jpg	0.9304	0.1265	87.2933	22.2641
2034-600.jpg	0.9002	0.2005	87.2939	25.1832
2035-600.jpg	0.9321	0.1922	91.3189	24.2164
2036-600.jpg	0.9176	0.1991	89.9561	23.8437
2037-600.jpg	0.9326	0.1311	92.7506	14.1041
2038-600.jpg	0.9582	0.0914	92.1075	14.9003
2039-600.jpg	0.9302	0.1452	92.4084	15.4129
2040-600.jpg	0.7985	0.2866	75.0674	35.2033
2041-600.jpg	0.9407	0.1643	93.0236	19.2541
2042-600.jpg	0.9094	0.1950	88.4969	24.5384
2044-600.jpg	0.9895	0.0563	97.2952	10.4208
2045-600.jpg	0.9638	0.1218	95.7650	14.2210
2046-600.jpg	0.9691	0.1153	96.9969	11.2925
2047-600.jpg	0.9110	0.2587	91.0513	26.0962
2048-600.jpg	0.9578	0.1093	93.3917	15.9352
2049-600.jpg	0.9664	0.1330	95.7074	17.1369
2050-600.jpg	0.8248	0.3404	82.0329	34.9390
2051-600.jpg	0.9368	0.1481	93.5080	15.1478
2052-600.jpg	0.9749	0.0926	96.7315	11.8971
2053-600.jpg	0.9601	0.1640	95.3796	18.7812
2054-600.jpg	0.9777	0.0725	96.5420	11.4458
2055-600.jpg	0.9162	0.1501	91.5874	14.9438
2056-600.jpg	0.8711	0.2704	85.3240	30.7505
2057-600.jpg	0.8817	0.2094	82.0634	30.3452
2058-600.jpg	0.9289	0.1043	87.6711	17.9832
2059-600.jpg	0.9302	0.2170	92.1392	24.3734
2060-600.jpg	0.8423	0.2292	76.8631	33.6173
2061-600.jpg	0.8437	0.2490	83.3993	26.2992
2062-600.jpg	0.9567	0.0856	89.2421	20.7475
2063-600.jpg	0.9346	0.1841	93.4112	18.6058
2064-600.jpg	0.8939	0.2272	89.5224	22.4480
Pooled	0.9229	0.1679	90.1347	20.9408
